Year,CPI,HDI,Manufacturing_Output,Inflation,SDG_Index,FDI_pct_GDP
1996,6.9,0.408,35476481486,29.27,,0.27
1997,17.6,0.413,38560326736,8.53,,0.23
1998,19,0.419,38114862986,10,,0.14
1999,16,0.425,9615433497,6.62,,1.7
2000,12,0.435,9637935327,6.93,44.98,1.65
2001,10,0.438,10243193746,18.87,45.67,1.62
2002,16,0.451,11227607811,12.88,46.35,1.97
2003,14,0.464,12632153479,14.03,46.82,1.91
2004,16,0.477,14746181258,15,47.3,1.38
2005,19,0.484,17674362416,17.86,47.34,2.84
2006,22,0.489,21110117126,8.23,47.89,2.04
2007,22,0.492,23377750177,5.39,48.75,2.17
2008,27,0.497,27731521569,11.58,48.83,2.41
2009,25,0.499,23124007767,12.54,49.72,2.9
2010,24,0.502,24048210354,13.74,51.15,1.64
2011,24,0.508,29721754775,10.83,51.47,2.13
2012,27,0.512,35839657847,12.22,51.69,1.52
2013,25,0.517,46440895420,8.5,52.35,1.07
2014,27,0.524,55327265696,8.05,52.71,0.82
2015,26,0.53,46484711768,9.01,52.56,0.62
2016,28,0.532,35122321150,15.7,52.74,0.85
2017,27,0.534,32847667356,16.5,52.74,0.64
2018,27,0.537,40693398886,12.1,53.58,0.18
2019,26,0.544,54675607380,11.4,53.8,0.49
2020,25,0.547,54747780509,13.25,53.7,0.55
2021,24,0.554,64408893139,16.95,54.23,0.75
2022,24,0.557,64895894817,18.85,54.21,-0.04
2023,25,0.56,55900619566,24.66,54.6,0.51
