Year,CPI,HDI,Manufacturing_Output,Inflation,SDG_Index,FDI_pct_GDP
1996,56.8,0.649,33083289656,7.35,,0.5
1997,49.5,0.642,33649422869,8.6,,2.26
1998,52,0.634,29568265288,6.88,,0.36
1999,50,0.626,28070227649,5.18,,0.99
2000,50,0.618,28784867305,5.34,56.27,0.64
2001,48,0.613,25781734128,5.7,56.33,5.37
2002,48,0.614,24619814118,9.49,56.71,1.15
2003,44,0.61,36452669388,5.68,56.25,0.4
2004,46,0.613,46019188389,-0.69,56.36,0.27
2005,45,0.616,50177910276,2.06,56.48,2.26
2006,46,0.622,47388354319,3.24,56.78,0.21
2007,51,0.632,51433518065,6.18,57.22,1.98
2008,49,0.643,49343951555,9.91,57.71,3.13
2009,47,0.657,47840073999,7.24,58.04,2.31
2010,45,0.669,57844846257,4.07,58.59,0.88
2011,41,0.683,58932565239,5,59.08,0.9
2012,43,0.696,54224447021,5.74,59.19,1.06
2013,42,0.705,49576674421,5.78,59.45,2.05
2014,44,0.713,47576330742,6.13,59.93,1.52
2015,44,0.722,43400939046,4.52,61.59,0.44
2016,45,0.722,40395264202,6.6,61.78,0.68
2017,43,0.726,47729563003,5.19,62.19,0.54
2018,43,0.732,50483463260,4.51,62.09,1.37
2019,44,0.742,48280393963,4.1,62.54,1.31
2020,44,0.724,39627686445,3.23,63.5,0.93
2021,44,0.721,50759289478,4.62,63.85,9.66
2022,43,0.737,50572427785,7.04,64.01,2.27
2023,41,0.741,49348135515,6.08,64.02,0.9
